official_index,true_class_id,grid_rows,grid_columns,patch_size_pixels,permutation_0_based_json,shuffled_rgb_sha256
603,9,4,4,56,"[12,9,7,5,8,15,2,1,6,3,10,4,14,13,0,11]",cbf7ba92093334214930ea7df19f74f721220971ba5412f1434debf649e14756
632,3,4,4,56,"[15,7,3,12,6,13,5,0,14,1,11,8,9,4,10,2]",213158aa85971b5050a0372b0ae5ed03528eb3150c83ebd2e1420acb36d84cb6
645,5,4,4,56,"[1,2,9,7,15,10,4,12,5,14,11,8,3,6,13,0]",067e2e7eab54eb621d98712530f3125eb907c9de69cc293313bd4a0a0e1a8a33
667,8,4,4,56,"[9,7,1,4,0,2,10,5,3,13,14,11,6,12,15,8]",8fcc0c5022e797b307d005bda77a59c420ab8b3118c0d06096d0218f413cfb3b
672,3,4,4,56,"[0,7,6,3,13,15,4,11,14,5,10,8,1,2,12,9]",f120be4f04b810e232fb9e20aa2ede37e0a1b875957d396847aeb3b96b2ff146
677,3,4,4,56,"[8,1,2,5,12,7,15,14,13,0,11,6,10,4,3,9]",f7e7affffc184874999dfbdc7cd555c9abf8b7f42eb5e9daf6457ade663bb01f
685,5,4,4,56,"[8,3,6,15,10,7,11,2,13,9,14,5,0,1,12,4]",8fa1fef51f06032ad39f2b10c5c17b0951bbf0be4c7dd03609a72ac0258f6e02
691,4,4,4,56,"[2,4,9,6,0,12,1,5,3,15,14,8,13,10,11,7]",d8e2ae9011c56fe998d416f153853d1559cd1c65f7f42f2201ab5ba7960fb056
706,8,4,4,56,"[10,4,12,13,0,6,2,3,5,8,14,7,1,15,9,11]",58a8132aa9bbc558cfe3f2efdeec2adfe5c78577e15d05d8bf3718d3056b01b7
714,2,4,4,56,"[10,8,12,2,9,11,0,5,14,13,7,4,6,15,3,1]",d9b4ed8e249fddc0e46946fd3775c7ef2de4ad8f4199cdfcd53c3030a53c30fe
716,8,4,4,56,"[0,5,6,4,2,3,7,1,8,10,9,11,13,15,12,14]",334940071865a733d30254dc0ff2f37662df7833541e204cedbe44e73f9d7d5a
738,3,4,4,56,"[15,12,0,13,9,10,11,2,5,14,3,7,4,6,1,8]",e9335e1d2420b3a066113fbb76d14c82959fe815cdadc51f998d408ca0f3a890
739,8,4,4,56,"[4,13,12,15,2,0,10,7,9,1,11,14,6,8,5,3]",a5e648bf0477548548f04119371582ad95ce37299e1272df6273c5cf649a201d
766,4,4,4,56,"[6,1,5,0,8,11,15,4,3,14,10,7,13,9,2,12]",a7c95481d60d8fb13e3406b06f55e5985eed5fd029d853bafaa5c601813c65c5
791,3,4,4,56,"[4,15,6,8,9,11,5,12,7,2,14,3,0,1,13,10]",37235c0f18e75a978ee225e050b3afdebcaaa698edf53a9ff52fdffc292819dc
805,9,4,4,56,"[5,6,4,7,12,1,15,0,10,11,9,2,3,14,13,8]",9e009b5c9e3c27199276ea02c0b52ea1f9187537e8ccd6b91d6bdb4caf418294
825,1,4,4,56,"[11,1,2,13,15,14,4,12,0,8,6,10,3,9,7,5]",d82977b3e0b2e8a80c8d50be3ef019148d9b9e322912855dfcfc6582f7b11e87
852,9,4,4,56,"[8,11,0,1,13,2,3,5,9,4,10,14,6,12,7,15]",0235a6f8d5cf4bc3f80cc2bb19c18639492a2eebe28ae3f49e97fc9efa87f897
855,4,4,4,56,"[0,14,15,4,6,3,7,13,9,10,12,8,5,2,1,11]",f12fd846b9b48951fcd77ae2761d4209bd73fef1ca5b5631d011ad9c5cf22093
873,6,4,4,56,"[10,3,2,1,6,12,14,9,7,5,4,15,13,11,0,8]",9a913646c56826540b826166adc958aef10a4bc9cab50b7d8de284615b89a25c
890,6,4,4,56,"[11,4,14,1,3,6,15,2,9,13,12,7,10,8,0,5]",edbccc2f96960e6deeb27a951e1d121e006793a4721043b6f3d4abd31f883d33
920,6,4,4,56,"[9,11,5,3,12,8,14,1,15,4,0,7,10,2,6,13]",5db01abeaa93d5b1ab962f523fe36803db7c83015e8d11fbe1e2a21281828046
929,6,4,4,56,"[3,13,6,0,1,5,7,8,9,15,4,10,14,12,11,2]",2ca4433113ff96feb40322ce6f580bc806d16976a9475a9459e8bfffe39ed27e
962,8,4,4,56,"[5,14,10,3,15,7,0,8,9,11,6,12,13,2,1,4]",ba311c12ab93726066adab5822881d5bfa21b809b61606673a71d64db2bf7df1
964,6,4,4,56,"[8,14,11,3,4,13,5,1,9,6,15,12,10,2,0,7]",f6687a6f79594d505d7ec4d15d43bf90ec95050f688eba551dbb3a61a6c55f52
977,6,4,4,56,"[7,13,11,2,12,4,10,1,15,14,5,8,6,3,9,0]",3707d283b59aa0b9975e7626543854d8efd955a6bb56ae5764ca458c14a030dc
979,3,4,4,56,"[4,14,11,10,5,12,7,15,2,6,1,9,3,0,8,13]",d22b6e747ef4393747eeb687651a2aec43825d4c238c874f48819453d4c62db0
981,2,4,4,56,"[7,14,13,1,10,6,8,5,15,0,2,9,4,12,11,3]",148a5bd9352e7805cab7d889dad3872186ea24f1b1a91449bef4db16c906f842
1022,9,4,4,56,"[4,15,2,13,9,12,5,10,6,0,14,7,1,3,8,11]",8b632897441261762121f1d84d4c2f47285bd3814c13ae72fc11eca132a4d107
1032,7,4,4,56,"[14,6,4,2,3,9,5,1,13,0,12,8,15,10,7,11]",d0064e6ddd916d53a8fc14b851ba81eeb8285c3f069d5657a09979b333a3a2a6
1048,7,4,4,56,"[10,15,11,2,9,1,13,8,4,0,14,12,7,3,5,6]",732630dc14ae8d1ec797584fb06ac1436039c64d6534b6984f6cce57897961d0
1090,1,4,4,56,"[8,12,2,3,0,9,1,14,4,10,5,7,6,13,15,11]",2820126a2e4f1f70cf65079a601b334d409e7a367d4c29d235237a0a58b09301
1095,5,4,4,56,"[0,15,6,13,9,10,14,3,11,1,5,7,12,2,4,8]",3bb537c55003d6ad6ef10858e513897a6848c98470eae1ed8a7524924fe88ede
1109,1,4,4,56,"[10,0,5,11,4,8,7,1,9,3,6,12,15,14,2,13]",928aa70e236731e8b9614a56a217439147ff88be0748a5c917546e6e9a77169d
1111,4,4,4,56,"[9,1,12,13,5,15,6,11,0,14,2,10,8,7,3,4]",6b3103a2c07e77f7e0940590cd8403b2ba9e59105e3dab2460019b09139980a7
1115,1,4,4,56,"[0,7,2,13,3,10,6,15,9,11,14,4,12,8,5,1]",28ee0199907d11c4d7dd414d9ee90765ab8d730d7ec56bfee970d65109601b2c
1124,4,4,4,56,"[4,0,2,5,8,10,12,7,11,1,3,13,9,14,6,15]",f6a9038971393fb114c12b07e583f41526d52bf54f4c39227bd66569f0cf72ee
1129,8,4,4,56,"[8,0,1,15,2,9,5,3,12,6,10,11,4,7,14,13]",10c21db8d100974ebc0e5174362f3af7a906c05dde9e5c1ec48081c671fb1a46
1175,0,4,4,56,"[1,3,2,6,10,9,8,15,11,14,5,13,0,12,4,7]",a2962c351b61bb59ef88759a3b2dcef4946cd9ca8f2c854f4a6acd612621ad10
1202,2,4,4,56,"[15,4,14,0,10,1,11,5,12,9,2,3,6,7,13,8]",e1c877c0d77ef25e578443c5c182ee72aba6ef2364fe320be5a35de878325952
1204,3,4,4,56,"[6,11,4,2,8,14,13,12,9,10,7,15,5,3,0,1]",b7042164afd49fa7a9f204d2ecf9eb704016b5ecc2ca37f38f6e7e0b0cc89a0f
1211,4,4,4,56,"[6,5,1,3,2,0,8,9,4,11,15,10,7,13,14,12]",c0d85c7b64c6a47c0a30b92b97805c8c4daf040de2f6240c13aeee0ba6245df2
1220,7,4,4,56,"[11,9,8,2,14,5,4,13,1,6,15,0,10,12,3,7]",b2405c13970a907510fda3765936da3f2c62e32e440c5ed917dafd2b6af610d5
1230,1,4,4,56,"[11,6,10,13,8,5,12,2,0,9,15,1,4,14,3,7]",8edffd73956cdd88524ad5af12e09bfc41edb121e6e08cee90791cacd7063265
1247,8,4,4,56,"[0,4,3,12,7,2,14,10,6,15,5,8,1,11,9,13]",62b68421143c1459b6c5645897d91259b21eb3812c6e4a7389071a4a7b2e6270
1263,3,4,4,56,"[6,7,11,5,2,8,0,10,4,14,12,15,1,13,3,9]",8996c4835c7c658299fa9fb89ffce7423ea13797907d0c0686d41f324677a035
1266,4,4,4,56,"[8,13,7,3,0,6,9,15,11,4,10,12,1,2,5,14]",c372f28e43cc0f12226d284bf1ba3fb2d9e08a23e6491b6f97f1ebe30275a9d8
1287,7,4,4,56,"[5,13,7,9,10,3,12,6,15,11,8,1,2,0,14,4]",2a3bfc1067a8e2b3481b82c17b160b4b6abb422e71c2d44c0ae3f8e180fb4ccf
1296,7,4,4,56,"[9,10,0,1,8,14,7,3,15,4,2,6,12,13,5,11]",5c7809bbe8fc8d43eb17693a507549f65777bdc3097362dddb942af49f1d524a
1370,3,4,4,56,"[12,8,9,4,3,11,13,1,5,7,0,15,6,2,14,10]",1992a20ce96820d64986397179d0803c46e7fbf95156f0ccb3dac9f9b7af026a
1389,0,4,4,56,"[12,14,1,7,2,9,6,8,5,13,15,10,0,4,11,3]",2d90df93844d274a461247d301af78803cffb8f2e815145ae394949d07f954be
1401,3,4,4,56,"[8,6,5,0,14,9,12,10,13,11,4,2,15,7,1,3]",f5ec7306e41beedc221525e9339a4cfab44a7a849f1dfd103ed5c76fa95385aa
1403,2,4,4,56,"[13,10,11,3,7,4,8,0,9,5,1,14,12,2,6,15]",f120ba6bda7704864210c85d551cb2376f70b057204ebc338337d0e90d9b4342
1411,9,4,4,56,"[6,4,11,13,3,12,7,10,8,9,5,2,0,14,1,15]",1f17172860d53d88a533fc156e5acf23edc106a40fa17967c9306c033d0cb5d6
1429,4,4,4,56,"[10,7,5,9,8,13,4,12,15,1,2,6,0,3,14,11]",f0035b0a9d3d62841404268e8d8c77478712efa7e09deb59e735673d6a6abe4e
1430,9,4,4,56,"[13,1,15,0,12,9,2,10,8,6,4,7,3,11,14,5]",846925e314ed7ebea485bca138445bada608b8da43f47a2b04914887700006da
1431,3,4,4,56,"[9,14,1,13,10,8,2,3,6,12,15,4,11,5,7,0]",6211caf1c0f384324e0c57345f3231db03e9491bb2ad300aff00e1023bcbcfc8
1436,1,4,4,56,"[2,9,11,15,3,1,6,10,7,14,0,5,4,12,13,8]",5717285bcbf539c275efa2372ceafdadde70d391dc4ff41fa64e30238a51cada
1440,7,4,4,56,"[8,7,11,2,10,0,1,3,5,13,9,4,15,6,14,12]",c4cb4a76a4323a0d90f55e1799b51e47cc43330552639f7af8570e6f2455e0a7
1468,9,4,4,56,"[13,9,14,2,4,3,10,8,6,7,0,1,5,15,11,12]",1dbc3f9de20797f535ec2cd07a6b23d96796644f691afabc92acd5c72fbf340d
1473,7,4,4,56,"[3,14,9,13,2,7,12,0,11,4,1,15,5,8,10,6]",a406585c59bde7580e683c89a55908703f8620507eda62c79171b7097ccd2ebc
1515,9,4,4,56,"[10,9,6,12,2,4,0,14,3,5,13,8,1,11,7,15]",f0180600d49e2d32cef06e1184a6f61a1ed13efc54e7733b2618c8f331d467ad
1520,2,4,4,56,"[9,12,13,6,4,15,0,1,14,5,2,11,3,7,10,8]",f7b36e497a14eb011f2c10430e2c2cddc7fa9bb0698382384174400e2dc37532
1531,3,4,4,56,"[0,6,7,12,5,9,15,4,2,13,10,1,14,11,8,3]",7ea72dfff6194a6953f6aa8335ecf4ad67d3b7f962cac2cca790a15f3abfb560
1534,6,4,4,56,"[4,3,6,5,15,10,8,14,9,7,13,11,12,1,0,2]",1122dae106436899f1db9a3fbc866a407178bfd0f8f9b87bcd9e36cc9f0ad3e9
1552,5,4,4,56,"[9,7,6,2,10,14,0,8,11,13,12,4,5,3,15,1]",b9381f1d3d0aa3daecc6f1995a671e90acaf523b55aa647a5562f545eb309ae4
1553,0,4,4,56,"[12,15,14,2,10,13,5,0,6,9,3,1,4,11,7,8]",7c692c7da7e769feeeff75fd797cb50fc7a1afaacc5aeddddd10661aac9b4468
1563,3,4,4,56,"[1,13,3,0,12,15,10,4,5,7,2,6,9,8,11,14]",fdf0663671b268e8344629e8d1a744f151dfb6727cba99d90ef6baed1b34d48f
1568,1,4,4,56,"[7,6,11,1,4,3,14,10,2,9,0,8,12,5,15,13]",9bd526057e3b718a7b6d4e4788996495986546cefaa7e57a3cc98f636b9bbe04
1579,7,4,4,56,"[3,0,15,13,10,7,2,11,1,8,6,4,9,5,12,14]",dcb6b6b150947514e38fc186cb67aa68da5a29797b4a4567969f03083437642e
1586,2,4,4,56,"[3,6,12,8,14,4,9,2,13,0,7,5,15,10,11,1]",324d7d94c3ee8b0db5e9e3303eebb63ac4c5a8b0110e781f0a770856258e489a
1596,0,4,4,56,"[15,9,3,12,10,5,1,0,11,6,13,2,14,4,8,7]",6edc66e78733780c2f1b9a334aa6c9f345514e5fc1b9be3871844515b3544a7a
1626,5,4,4,56,"[7,9,13,5,2,0,11,3,6,8,4,10,14,15,1,12]",73ad49d74dc90b6e458282954da1fcf22f7a1a7cbbf137f03057408bd6d65f84
1640,8,4,4,56,"[15,3,9,1,13,12,4,2,5,8,6,14,11,7,10,0]",9ca54075cd125a101183142420a9103f105eab068a53fab3d0f0a0ffe2605701
1644,5,4,4,56,"[6,3,9,4,7,10,11,5,2,0,14,8,15,12,13,1]",543bcdd11eee65b5648945979883c44ca825b8bce944cb1f9ee9cd61f84a1398
1648,0,4,4,56,"[1,2,9,12,13,10,3,4,6,11,14,15,0,5,7,8]",7578706073c46448a379dc4e77aac0019c2ccb271646dc4d2d4b95ed0baa89bd
1654,9,4,4,56,"[2,15,5,1,0,11,13,6,7,9,8,12,14,4,10,3]",87f5ce947dec19808085b3fd2f923f90a5bc06d83a8f384be3d2fa90d83c9f1b
1667,6,4,4,56,"[1,15,14,10,6,8,3,2,4,5,0,7,11,12,13,9]",5a8f31d52394f6a65895150ed6f4bdf8728d87252bd98d4952e835f43affe842
1703,7,4,4,56,"[14,5,7,15,11,0,4,8,10,12,1,2,3,9,6,13]",ed330d58537740fbea8e106802a8ec1100dd5a92c360ef9bfb6ef97c512d8b64
1711,7,4,4,56,"[8,6,3,13,9,1,5,0,10,11,14,4,12,15,7,2]",07931cd851435026cf8555ff33f54415d85eb08a6d38a6209b85f443f9b18cc5
1771,7,4,4,56,"[9,13,6,4,8,1,3,15,7,14,2,10,11,12,5,0]",df317230ab25130b8653f2a9dfa483f620562d10419e75d4980a43bee08123a2
1783,8,4,4,56,"[0,8,2,7,12,11,5,14,15,4,1,13,6,9,3,10]",9b5bd53353da0492a57e5710024a2ee0dd7cca325c7bce246e42c9e6608df688
1814,2,4,4,56,"[10,14,0,9,11,8,1,4,5,7,3,6,13,15,12,2]",dd16da67529bd7a0e93a55c491035637d4b47973fc13bc73476059c78d557e10
1833,8,4,4,56,"[12,7,2,0,9,14,13,6,11,8,15,4,3,10,5,1]",4777e30f8bfefdd34c7a961abcf4fda4883ca272edce0407c6a9d3d8391d5b55
1836,9,4,4,56,"[10,8,1,7,4,11,14,5,15,2,12,9,13,0,3,6]",557b1e1ff63b74e95cb886b1b6c3d9a50c8b76a87f5754e0f82d1bc38d5f43bd
1839,2,4,4,56,"[12,9,8,4,13,5,2,7,1,6,15,3,10,0,14,11]",bae432f488521a78b1ffc32ca6f7c817a16b272559333b6ca0fa625ebfee3d4a
1852,1,4,4,56,"[8,7,5,10,11,1,0,6,13,3,4,2,12,14,9,15]",8c0f8311113266df938c6d0156c02633b1846f9a6a03c7900974e1b5a7921cab
1871,1,4,4,56,"[3,0,2,12,6,5,7,14,10,11,8,4,1,13,15,9]",4efb0d160716bf8770f4cb585fcfd17b577b5eddf4b07d6c759b6ccdf4ab9244
1877,5,4,4,56,"[15,1,6,12,5,4,11,8,0,14,3,10,2,9,13,7]",e47f00c500b2dee1bbe7120064cf5f8055618a04d3a75a31110099f1325f676d
1884,7,4,4,56,"[12,7,9,14,13,10,5,4,8,1,3,15,6,11,0,2]",bdae8ccaa7144605a517f598c37fd9066d5f9d382acd68a8e48d421c3574ae5e
1927,7,4,4,56,"[3,10,14,0,7,4,11,9,5,6,8,2,1,15,12,13]",a63e7d553c01c5bcbb7a20d8c333c4c683a0d8480b5f1c73c606306cb25fe016
1954,8,4,4,56,"[13,2,15,0,10,3,1,6,11,9,14,12,7,4,5,8]",7f7d7911db906e64d4900fc34e139bd55bde36353ab091ccf57f17a53c801b8c
1956,7,4,4,56,"[4,12,8,1,11,3,2,13,6,14,7,10,9,0,15,5]",cdd9e377dace4a374476cda5f7ca39d865c3365a3262e813c16b05913f8b5af2
1960,4,4,4,56,"[5,8,1,3,10,12,13,2,4,0,7,15,6,14,11,9]",87a9c7cfb8eef86410d19d27049193b4d18eb05fc03e29bfcd6eca6837c9199f
1977,0,4,4,56,"[0,11,8,13,4,6,3,12,10,9,7,15,5,1,14,2]",1c15266621f6a0b60ae5bc74abf91071784760940b7d2afcdfb15362293e6218
1986,1,4,4,56,"[13,9,4,7,2,15,3,5,11,12,14,1,10,0,6,8]",7a27fb4e64f0fc9380434ab6a66420d5c89b12489dda0f77322c48964044bb18
1993,1,4,4,56,"[6,4,13,14,1,11,0,15,12,2,5,3,10,7,9,8]",527dc793b8b1341c590ca886442dc464b6b5884ce3fd69d5046d9cc99b694000
2003,6,4,4,56,"[8,1,3,2,14,4,15,9,10,11,6,5,7,12,0,13]",7242228172f2bb0a31bc4c0acc0ec9877d9dfb8af5c79e4d189175b73acb7bc0
2011,9,4,4,56,"[13,3,15,10,6,4,5,0,9,12,11,7,8,2,14,1]",992ded96ea02563b5d03b69e2b877e07518924838f1242bc7a35885cf08bc3b3
2024,0,4,4,56,"[11,7,8,15,12,0,10,4,5,9,2,3,6,13,14,1]",7a98e2c3ed8c6e00f4c8e64f5715fa7ca924088cfff74ee7fe4224e4d81645fa
2028,3,4,4,56,"[5,11,0,3,10,4,9,2,12,13,6,7,8,14,15,1]",db5c7396cea563079ff94c82615f73e236fca2bd7e6f6b123c0b7c05c1eae725
2062,9,4,4,56,"[7,9,11,10,14,12,3,6,8,2,5,0,4,13,15,1]",cf3a3a023a416364620ee053b4acec20644d6b78cd1d32fb4e7fdb7f7ba97dc1
2070,1,4,4,56,"[12,14,13,9,4,10,5,8,3,1,2,11,7,0,15,6]",817a36c9d4db9a3c1847317f740e010dd114fe8fecd00764b1814b0fec5c4715
2082,2,4,4,56,"[12,10,15,1,2,9,8,5,7,3,11,14,6,13,0,4]",83486f4eb7ffa06ab566a95c63ad5b7468463ca47bd4b7170bb3adb6d1016e57
2095,1,4,4,56,"[13,2,10,6,3,14,5,0,4,8,11,15,9,12,7,1]",41bec4cdb70ffb93a308e3ada4f6bb301ff0baff6a1b23da60a87210ddf66df2
2109,8,4,4,56,"[8,5,10,14,0,15,6,11,7,9,2,13,3,12,4,1]",83113ae39f5cd42800b973c463f5a59d6e504109314ba8dcf6f96052ceaca1d9
2114,9,4,4,56,"[6,3,0,7,9,8,4,2,11,1,10,12,14,5,13,15]",d6d9c004b5a0f45029f686238df0c92e721834f48a06a7626fa003bf3906d60f
2116,1,4,4,56,"[15,1,9,13,8,5,14,12,6,0,10,2,3,11,4,7]",65a488042dfc1c2f3dd6b03a9bf9b5cd785438c9ac3abd71d820f72063f30f91
2157,1,4,4,56,"[10,8,7,9,11,15,5,2,4,0,14,1,13,12,3,6]",d58110453959844c72a9cad33042f5bc1f23bd001b9a2fc72dc89c10e3942409
2167,9,4,4,56,"[15,10,7,8,6,9,4,11,1,0,14,3,12,2,13,5]",ee507fd510a7e62b34ed0bc3fb4cbeb70857b96c85a9916b8b9cd6e95cdf7fc9
2178,1,4,4,56,"[6,10,14,12,1,4,2,0,11,5,9,15,7,3,13,8]",dc66cfd20cc5bef0777012e1e77704acfecb791bf290fac956093d78f8c0921b
2191,8,4,4,56,"[14,4,1,11,0,12,5,3,6,13,7,8,9,2,10,15]",0a3cb816c013db21b0f83dfaf455ed8a6fb3b35db6074ff86ae4f4c3fed6f410
2230,8,4,4,56,"[7,6,2,5,11,10,9,12,15,1,0,4,13,14,8,3]",a17552a68290874ebc8eafbf9a69cf0d3ab28524b8cc909e33a7156d19c0eb3c
2242,0,4,4,56,"[1,7,12,0,3,2,5,10,8,14,9,4,15,6,13,11]",557ca8bc888914d03a8323decbe038f1dace381e6a33f93b3deb3d5d9204b43f
2265,5,4,4,56,"[15,11,13,12,6,10,8,5,3,14,2,0,1,4,7,9]",44a0544cf0a492dd0a7f9790b2f8747732c9b5c05d87817b84cfa222a40063b7
2268,5,4,4,56,"[3,5,2,15,4,10,7,14,12,0,11,9,13,8,1,6]",a4565a823f90788212f2c7924cf675e6e247ccdfbc79c57ede9f25af80e23db7
2291,3,4,4,56,"[5,11,8,10,7,15,13,1,14,3,12,2,0,6,9,4]",e0f7b158baa4239c7666ec6d4062e11e64c7053f5eccbc6609e7288812b42947
