backbone,predictor,condition,transformed_identifier,clean_official_index,true_class_id,cosine_similarity,clean_predicted_class_id,transformed_predicted_class_id,prediction_consistent
resnet50,resnet50_linear_head,grayscale,645,645,5,0.8269012570381165,5,5,True
resnet50,resnet50_linear_head,grayscale,667,667,8,0.8791016340255737,8,8,True
resnet50,resnet50_linear_head,grayscale,672,672,3,0.8190006613731384,3,3,True
resnet50,resnet50_linear_head,grayscale,677,677,3,0.8469013571739197,3,3,True
resnet50,resnet50_linear_head,grayscale,685,685,5,0.826056957244873,5,5,True
resnet50,resnet50_linear_head,grayscale,691,691,4,0.7689290642738342,4,4,True
resnet50,resnet50_linear_head,grayscale,706,706,8,0.8843111991882324,8,8,True
resnet50,resnet50_linear_head,grayscale,714,714,2,0.7916677594184875,2,2,True
resnet50,resnet50_linear_head,grayscale,716,716,8,0.8171644806861877,8,8,True
resnet50,resnet50_linear_head,grayscale,738,738,3,0.8121787309646606,3,3,True
resnet50,resnet50_linear_head,grayscale,739,739,8,0.8378081917762756,8,8,True
resnet50,resnet50_linear_head,grayscale,766,766,4,0.6043209433555603,6,6,True
resnet50,resnet50_linear_head,grayscale,791,791,3,0.8908703327178955,3,3,True
resnet50,resnet50_linear_head,grayscale,805,805,9,0.8023996353149414,9,9,True
resnet50,resnet50_linear_head,grayscale,825,825,1,0.8819199800491333,1,1,True
resnet50,resnet50_linear_head,grayscale,852,852,9,0.8618640899658203,9,9,True
resnet50,resnet50_linear_head,grayscale,855,855,4,0.8203226327896118,4,4,True
resnet50,resnet50_linear_head,grayscale,873,873,6,0.8867381811141968,6,6,True
resnet50,resnet50_linear_head,grayscale,890,890,6,0.7953783273696899,6,6,True
resnet50,resnet50_linear_head,grayscale,920,920,6,0.8212025761604309,6,6,True
resnet50,resnet50_linear_head,grayscale,929,929,6,0.7406011819839478,6,6,True
resnet50,resnet50_linear_head,grayscale,962,962,8,0.7403000593185425,8,8,True
resnet50,resnet50_linear_head,grayscale,964,964,6,0.8848506808280945,6,6,True
resnet50,resnet50_linear_head,grayscale,977,977,6,0.6834832429885864,6,6,True
resnet50,resnet50_linear_head,grayscale,979,979,3,0.8738248944282532,3,3,True
resnet50,resnet50_linear_head,grayscale,981,981,2,0.8919655680656433,2,2,True
resnet50,resnet50_linear_head,grayscale,1022,1022,9,0.8445522785186768,9,9,True
resnet50,resnet50_linear_head,grayscale,1032,1032,7,0.5159610509872437,7,7,True
resnet50,resnet50_linear_head,grayscale,1048,1048,7,0.6901998519897461,7,7,True
resnet50,resnet50_linear_head,grayscale,1090,1090,1,0.8230794072151184,1,1,True
resnet50,resnet50_linear_head,grayscale,1095,1095,5,0.8040831089019775,5,5,True
resnet50,resnet50_linear_head,grayscale,1109,1109,1,0.7937065362930298,1,1,True
resnet50,resnet50_linear_head,grayscale,1111,1111,4,0.7072174549102783,4,4,True
resnet50,resnet50_linear_head,grayscale,1115,1115,1,0.8326513171195984,1,1,True
resnet50,resnet50_linear_head,grayscale,1124,1124,4,0.6795258522033691,4,4,True
resnet50,resnet50_linear_head,grayscale,1129,1129,8,0.7927696108818054,8,8,True
resnet50,resnet50_linear_head,grayscale,1175,1175,0,0.9088877439498901,0,0,True
resnet50,resnet50_linear_head,grayscale,1202,1202,2,0.7241004109382629,2,2,True
resnet50,resnet50_linear_head,grayscale,1204,1204,3,0.8822821974754333,3,3,True
resnet50,resnet50_linear_head,grayscale,1211,1211,4,0.6624733209609985,4,4,True
resnet50,resnet50_linear_head,grayscale,1220,1220,7,0.6967368125915527,7,7,True
resnet50,resnet50_linear_head,grayscale,1230,1230,1,0.771151065826416,1,1,True
resnet50,resnet50_linear_head,grayscale,1247,1247,8,0.7100843191146851,8,8,True
resnet50,resnet50_linear_head,grayscale,1263,1263,3,0.7619515657424927,3,3,True
resnet50,resnet50_linear_head,grayscale,1266,1266,4,0.6646307110786438,4,4,True
resnet50,resnet50_linear_head,grayscale,1287,1287,7,0.7575613856315613,7,7,True
resnet50,resnet50_linear_head,grayscale,1296,1296,7,0.5476903915405273,7,7,True
resnet50,resnet50_linear_head,grayscale,1370,1370,3,0.712968647480011,3,3,True
resnet50,resnet50_linear_head,grayscale,1389,1389,0,0.8959630131721497,0,0,True
resnet50,resnet50_linear_head,grayscale,1401,1401,3,0.8423259854316711,3,3,True
resnet50,resnet50_linear_head,grayscale,1403,1403,2,0.8570126891136169,2,2,True
resnet50,resnet50_linear_head,grayscale,1411,1411,9,0.9242759346961975,9,9,True
resnet50,resnet50_linear_head,grayscale,1429,1429,4,0.7739621996879578,4,4,True
resnet50,resnet50_linear_head,grayscale,1430,1430,9,0.7968173623085022,9,9,True
resnet50,resnet50_linear_head,grayscale,1431,1431,3,0.8601022362709045,3,3,True
resnet50,resnet50_linear_head,grayscale,1436,1436,1,0.6159812808036804,1,1,True
resnet50,resnet50_linear_head,grayscale,1440,1440,7,0.8476554155349731,7,7,True
resnet50,resnet50_linear_head,grayscale,1468,1468,9,0.8272386789321899,9,9,True
resnet50,resnet50_linear_head,grayscale,1473,1473,7,0.7900481224060059,7,7,True
resnet50,resnet50_linear_head,grayscale,1515,1515,9,0.8585364818572998,9,9,True
resnet50,resnet50_linear_head,grayscale,1520,1520,2,0.8794834613800049,2,2,True
resnet50,resnet50_linear_head,grayscale,1531,1531,3,0.7073864340782166,3,3,True
resnet50,resnet50_linear_head,grayscale,1534,1534,6,0.9724038243293762,6,6,True
resnet50,resnet50_linear_head,grayscale,1552,1552,5,0.8331568837165833,5,5,True
resnet50,resnet50_linear_head,grayscale,1553,1553,0,0.9050476551055908,0,0,True
resnet50,resnet50_linear_head,grayscale,1563,1563,3,0.7883115410804749,3,3,True
resnet50,resnet50_linear_head,grayscale,1568,1568,1,0.6514440774917603,1,1,True
resnet50,resnet50_linear_head,grayscale,1579,1579,7,0.7894381880760193,7,7,True
resnet50,resnet50_linear_head,grayscale,1586,1586,2,0.884084939956665,2,2,True
resnet50,resnet50_linear_head,grayscale,1596,1596,0,0.7375494241714478,0,0,True
resnet50,resnet50_linear_head,grayscale,1626,1626,5,0.8448400497436523,5,5,True
resnet50,resnet50_linear_head,grayscale,1640,1640,8,0.8087526559829712,8,8,True
resnet50,resnet50_linear_head,grayscale,1644,1644,5,0.7436813116073608,5,5,True
resnet50,resnet50_linear_head,grayscale,1648,1648,0,0.9000285863876343,0,0,True
resnet50,resnet50_linear_head,grayscale,1654,1654,9,0.754340410232544,9,9,True
resnet50,resnet50_linear_head,grayscale,1667,1667,6,1.0,6,6,True
resnet50,resnet50_linear_head,grayscale,1703,1703,7,0.5302475094795227,7,7,True
resnet50,resnet50_linear_head,grayscale,1711,1711,7,0.6767549514770508,7,7,True
resnet50,resnet50_linear_head,grayscale,1771,1771,7,0.880142867565155,7,4,False
resnet50,resnet50_linear_head,grayscale,1783,1783,8,0.713844358921051,8,8,True
resnet50,resnet50_linear_head,grayscale,1814,1814,2,0.8519513607025146,2,2,True
resnet50,resnet50_linear_head,grayscale,1833,1833,8,0.8616635203361511,8,8,True
resnet50,resnet50_linear_head,grayscale,1836,1836,9,0.7660930752754211,9,9,True
resnet50,resnet50_linear_head,grayscale,1839,1839,2,0.9264513254165649,2,2,True
resnet50,resnet50_linear_head,grayscale,1852,1852,1,0.8244766592979431,1,1,True
resnet50,resnet50_linear_head,grayscale,1871,1871,1,0.7763627767562866,1,1,True
resnet50,resnet50_linear_head,grayscale,1877,1877,5,0.46262988448143005,5,4,False
resnet50,resnet50_linear_head,grayscale,1884,1884,7,0.6796784400939941,7,7,True
resnet50,resnet50_linear_head,grayscale,1927,1927,7,0.8942489624023438,7,7,True
resnet50,resnet50_linear_head,grayscale,1954,1954,8,0.7962417602539062,8,0,False
resnet50,resnet50_linear_head,grayscale,1956,1956,7,0.6489267945289612,3,7,False
resnet50,resnet50_linear_head,grayscale,1960,1960,4,0.6995391845703125,4,4,True
resnet50,resnet50_linear_head,grayscale,1977,1977,0,0.8961454033851624,0,0,True
resnet50,resnet50_linear_head,grayscale,1986,1986,1,0.6181532740592957,1,1,True
resnet50,resnet50_linear_head,grayscale,1993,1993,1,0.7273064851760864,1,1,True
resnet50,resnet50_linear_head,grayscale,2003,2003,6,0.6052846312522888,6,6,True
resnet50,resnet50_linear_head,grayscale,2011,2011,9,0.8957762122154236,9,9,True
resnet50,resnet50_linear_head,grayscale,2024,2024,0,0.6962838172912598,0,0,True
resnet50,resnet50_linear_head,grayscale,2028,2028,3,0.7419799566268921,3,3,True
resnet50,resnet50_linear_head,grayscale,2062,2062,9,0.918921172618866,9,9,True
resnet50,resnet50_linear_head,grayscale,2070,2070,1,0.5894952416419983,1,1,True
resnet50,resnet50_linear_head,grayscale,2082,2082,2,0.6909611821174622,2,2,True
resnet50,resnet50_linear_head,grayscale,2095,2095,1,0.7639344930648804,1,1,True
resnet50,resnet50_linear_head,grayscale,2109,2109,8,0.8357704877853394,8,8,True
resnet50,resnet50_linear_head,grayscale,2114,2114,9,0.8573974370956421,9,9,True
resnet50,resnet50_linear_head,grayscale,2116,2116,1,0.7244440913200378,3,3,True
resnet50,resnet50_linear_head,grayscale,2157,2157,1,0.7775787115097046,1,1,True
resnet50,resnet50_linear_head,grayscale,2167,2167,9,0.7761757373809814,9,9,True
resnet50,resnet50_linear_head,grayscale,2178,2178,1,0.8662703633308411,1,1,True
resnet50,resnet50_linear_head,grayscale,2191,2191,8,0.764220118522644,8,8,True
resnet50,resnet50_linear_head,grayscale,2230,2230,8,0.7578623294830322,8,8,True
resnet50,resnet50_linear_head,grayscale,2242,2242,0,0.7447704076766968,0,0,True
resnet50,resnet50_linear_head,grayscale,2265,2265,5,0.6785451173782349,5,5,True
resnet50,resnet50_linear_head,grayscale,2268,2268,5,0.8270723819732666,5,5,True
resnet50,resnet50_linear_head,grayscale,2291,2291,3,0.7455483675003052,3,3,True
resnet50,resnet50_linear_head,grayscale,2334,2334,5,0.6925415992736816,5,5,True
resnet50,resnet50_linear_head,grayscale,2340,2340,8,0.8920812010765076,8,8,True
resnet50,resnet50_linear_head,grayscale,2342,2342,8,0.6395840048789978,8,8,True
resnet50,resnet50_linear_head,grayscale,2351,2351,9,0.9021900296211243,9,9,True
resnet50,resnet50_linear_head,grayscale,2391,2391,5,0.6969203948974609,5,5,True
resnet50,resnet50_linear_head,grayscale,2392,2392,2,0.8385493755340576,2,2,True
resnet50,resnet50_linear_head,grayscale,2399,2399,4,0.8319701552391052,4,4,True
resnet50,resnet50_linear_head,grayscale,2414,2414,9,0.7140827178955078,9,9,True
resnet50,resnet50_linear_head,grayscale,2427,2427,5,0.7396371364593506,5,5,True
resnet50,resnet50_linear_head,grayscale,2458,2458,5,0.8775726556777954,5,5,True
resnet50,resnet50_linear_head,grayscale,2501,2501,7,0.7584192752838135,7,7,True
resnet50,resnet50_linear_head,grayscale,2502,2502,2,0.8697861433029175,2,2,True
resnet50,resnet50_linear_head,grayscale,2536,2536,3,0.7057993412017822,3,3,True
resnet50,resnet50_linear_head,grayscale,2539,2539,3,0.8806536793708801,3,3,True
resnet50,resnet50_linear_head,grayscale,2610,2610,6,0.8262075185775757,6,6,True
resnet50,resnet50_linear_head,grayscale,2623,2623,5,0.6850828528404236,5,5,True
resnet50,resnet50_linear_head,grayscale,2655,2655,9,0.9228741526603699,9,9,True
resnet50,resnet50_linear_head,grayscale,2668,2668,7,0.7152841687202454,7,7,True
resnet50,resnet50_linear_head,grayscale,2676,2676,6,0.6730197072029114,6,6,True
resnet50,resnet50_linear_head,grayscale,2687,2687,1,0.7977593541145325,1,1,True
resnet50,resnet50_linear_head,grayscale,2690,2690,1,0.7898976802825928,1,1,True
resnet50,resnet50_linear_head,grayscale,2704,2704,4,0.85508793592453,4,4,True
resnet50,resnet50_linear_head,grayscale,2745,2745,8,0.8017882704734802,8,8,True
resnet50,resnet50_linear_head,grayscale,2746,2746,7,0.6958220601081848,7,7,True
resnet50,resnet50_linear_head,grayscale,2750,2750,0,0.7116622924804688,0,0,True
resnet50,resnet50_linear_head,grayscale,2754,2754,3,0.728452205657959,3,3,True
resnet50,resnet50_linear_head,grayscale,2757,2757,4,0.8025732040405273,4,4,True
resnet50,resnet50_linear_head,grayscale,2766,2766,5,0.8881608247756958,5,5,True
resnet50,resnet50_linear_head,grayscale,2807,2807,5,0.6395878791809082,4,7,False
resnet50,resnet50_linear_head,grayscale,2844,2844,8,0.7223687171936035,8,8,True
resnet50,resnet50_linear_head,grayscale,2854,2854,7,0.7359692454338074,7,7,True
resnet50,resnet50_linear_head,grayscale,2861,2861,3,1.0,3,3,True
resnet50,resnet50_linear_head,grayscale,2888,2888,0,0.9150036573410034,0,0,True
resnet50,resnet50_linear_head,grayscale,2898,2898,4,0.7981810569763184,4,4,True
resnet50,resnet50_linear_head,grayscale,2950,2950,5,0.7780449986457825,5,5,True
resnet50,resnet50_linear_head,grayscale,2958,2958,6,0.802244246006012,6,6,True
resnet50,resnet50_linear_head,grayscale,3015,3015,8,0.8509989380836487,8,8,True
resnet50,resnet50_linear_head,grayscale,3024,3024,2,0.7558166980743408,2,2,True
resnet50,resnet50_linear_head,grayscale,3025,3025,0,0.9999997615814209,0,0,True
resnet50,resnet50_linear_head,grayscale,3034,3034,4,0.7968807220458984,4,4,True
resnet50,resnet50_linear_head,grayscale,3067,3067,2,0.9220589995384216,2,2,True
resnet50,resnet50_linear_head,grayscale,3078,3078,4,0.9710593819618225,4,4,True
resnet50,resnet50_linear_head,grayscale,3079,3079,1,0.6831933856010437,1,1,True
resnet50,resnet50_linear_head,grayscale,3083,3083,0,0.615967333316803,0,0,True
resnet50,resnet50_linear_head,grayscale,3122,3122,4,0.6920986175537109,4,4,True
resnet50,resnet50_linear_head,grayscale,3153,3153,7,0.6334007978439331,7,7,True
resnet50,resnet50_linear_head,grayscale,3157,3157,8,0.7487198710441589,8,8,True
resnet50,resnet50_linear_head,grayscale,3163,3163,2,0.8366659879684448,2,2,True
resnet50,resnet50_linear_head,grayscale,3179,3179,4,0.728431224822998,4,4,True
resnet50,resnet50_linear_head,grayscale,3191,3191,6,0.7479381561279297,6,6,True
resnet50,resnet50_linear_head,grayscale,3276,3276,3,0.8655639886856079,3,3,True
resnet50,resnet50_linear_head,grayscale,3287,3287,4,0.7954196333885193,4,4,True
resnet50,resnet50_linear_head,grayscale,3288,3288,7,0.7729814648628235,7,7,True
resnet50,resnet50_linear_head,grayscale,3292,3292,6,0.797044038772583,6,6,True
resnet50,resnet50_linear_head,grayscale,3318,3318,9,0.8523234128952026,9,9,True
resnet50,resnet50_linear_head,grayscale,3347,3347,0,0.858718752861023,0,0,True
resnet50,resnet50_linear_head,grayscale,3353,3353,5,0.8313442468643188,3,3,True
resnet50,resnet50_linear_head,grayscale,3362,3362,2,0.8302873373031616,2,2,True
resnet50,resnet50_linear_head,grayscale,3365,3365,4,0.8232503533363342,4,4,True
resnet50,resnet50_linear_head,grayscale,3375,3375,3,0.7697638273239136,3,5,False
resnet50,resnet50_linear_head,grayscale,3383,3383,3,0.7380061149597168,3,3,True
resnet50,resnet50_linear_head,grayscale,3404,3404,7,0.893219530582428,7,7,True
resnet50,resnet50_linear_head,grayscale,3412,3412,8,0.785862386226654,8,8,True
resnet50,resnet50_linear_head,grayscale,3413,3413,1,0.8349810838699341,1,1,True
resnet50,resnet50_linear_head,grayscale,3418,3418,6,0.8297119140625,6,6,True
resnet50,resnet50_linear_head,grayscale,3437,3437,0,0.7256404757499695,0,0,True
resnet50,resnet50_linear_head,grayscale,3446,3446,7,0.6799684166908264,7,7,True
resnet50,resnet50_linear_head,grayscale,3454,3454,2,0.9343748092651367,2,2,True
resnet50,resnet50_linear_head,grayscale,3455,3455,0,0.8551464080810547,0,0,True
resnet50,resnet50_linear_head,grayscale,3458,3458,4,0.8330627083778381,4,4,True
resnet50,resnet50_linear_head,grayscale,3467,3467,7,0.7069534063339233,7,7,True
resnet50,resnet50_linear_head,grayscale,3491,3491,1,0.8109976649284363,1,1,True
resnet50,resnet50_linear_head,grayscale,3494,3494,6,0.9005146622657776,6,6,True
resnet50,resnet50_linear_head,grayscale,3512,3512,4,0.8015509247779846,4,4,True
resnet50,resnet50_linear_head,grayscale,3515,3515,6,0.8682225346565247,6,6,True
resnet50,resnet50_linear_head,grayscale,3542,3542,7,0.8504568338394165,7,7,True
resnet50,resnet50_linear_head,grayscale,3550,3550,1,0.8530254364013672,1,1,True
resnet50,resnet50_linear_head,grayscale,3562,3562,3,0.5482807755470276,3,5,False
resnet50,resnet50_linear_head,grayscale,3755,3755,2,0.7885087728500366,2,2,True
resnet50,resnet50_linear_head,grayscale,3763,3763,4,0.8105188012123108,4,4,True
resnet50,resnet50_linear_head,grayscale,3777,3777,6,0.682491660118103,6,6,True
resnet50,resnet50_linear_head,grayscale,3778,3778,3,0.8354862928390503,3,3,True
resnet50,resnet50_linear_head,grayscale,3779,3779,6,0.8805956244468689,6,6,True
resnet50,resnet50_linear_head,grayscale,3844,3844,6,0.6615197658538818,6,6,True
resnet50,resnet50_linear_head,grayscale,3851,3851,3,0.802677571773529,3,3,True
resnet50,resnet50_linear_head,grayscale,3852,3852,5,0.7868725657463074,5,5,True
resnet50,resnet50_linear_head,grayscale,3863,3863,5,0.9235543012619019,5,5,True
resnet50,resnet50_linear_head,grayscale,3867,3867,7,0.6644590497016907,7,7,True
resnet50,resnet50_linear_head,grayscale,3876,3876,0,0.8663279414176941,0,0,True
resnet50,resnet50_linear_head,grayscale,3889,3889,5,0.8752345442771912,5,5,True
resnet50,resnet50_linear_head,grayscale,3891,3891,4,0.6549487709999084,4,4,True
resnet50,resnet50_linear_head,grayscale,3893,3893,9,0.8597522974014282,9,9,True
resnet50,resnet50_linear_head,grayscale,3905,3905,8,0.864876389503479,8,8,True
resnet50,resnet50_linear_head,grayscale,3914,3914,3,0.8224000334739685,3,3,True
resnet50,resnet50_linear_head,grayscale,3937,3937,1,0.8319931626319885,1,1,True
resnet50,resnet50_linear_head,grayscale,3942,3942,9,0.7855455279350281,9,9,True
resnet50,resnet50_linear_head,grayscale,3948,3948,8,0.8630043864250183,8,8,True
resnet50,resnet50_linear_head,grayscale,3962,3962,6,0.8052208423614502,6,6,True
resnet50,resnet50_linear_head,grayscale,3965,3965,0,0.9520849585533142,0,0,True
resnet50,resnet50_linear_head,grayscale,3994,3994,4,0.8021249175071716,4,4,True
resnet50,resnet50_linear_head,grayscale,3996,3996,9,0.8463883399963379,9,9,True
resnet50,resnet50_linear_head,grayscale,4011,4011,6,0.713060736656189,6,6,True
resnet50,resnet50_linear_head,grayscale,4023,4023,3,0.7351846694946289,3,3,True
resnet50,resnet50_linear_head,grayscale,4054,4054,4,0.6395450234413147,4,4,True
resnet50,resnet50_linear_head,grayscale,4065,4065,2,0.8684820532798767,2,2,True
resnet50,resnet50_linear_head,grayscale,4069,4069,8,0.546095609664917,8,8,True
resnet50,resnet50_linear_head,grayscale,4093,4093,6,0.8705766201019287,6,6,True
resnet50,resnet50_linear_head,grayscale,4094,4094,9,0.7821897268295288,9,9,True
resnet50,resnet50_linear_head,grayscale,4106,4106,5,0.873837411403656,5,5,True
resnet50,resnet50_linear_head,grayscale,4130,4130,0,0.8480770587921143,0,0,True
resnet50,resnet50_linear_head,grayscale,4168,4168,3,0.8415080904960632,3,3,True
resnet50,resnet50_linear_head,grayscale,4170,4170,8,0.8379852771759033,8,8,True
resnet50,resnet50_linear_head,grayscale,4172,4172,7,0.7010268568992615,7,7,True
resnet50,resnet50_linear_head,grayscale,4177,4177,8,0.758949339389801,8,8,True
resnet50,resnet50_linear_head,grayscale,4215,4215,3,0.4996318519115448,3,1,False
resnet50,resnet50_linear_head,grayscale,4229,4229,3,0.8689268827438354,3,3,True
resnet50,resnet50_linear_head,grayscale,4236,4236,7,0.7107213139533997,7,7,True
resnet50,resnet50_linear_head,grayscale,4242,4242,8,0.826927900314331,8,8,True
resnet50,resnet50_linear_head,grayscale,4254,4254,6,0.7608363032341003,6,6,True
resnet50,resnet50_linear_head,grayscale,4290,4290,5,0.7259181141853333,5,5,True
resnet50,resnet50_linear_head,grayscale,4298,4298,1,0.9001684784889221,1,1,True
resnet50,resnet50_linear_head,grayscale,4308,4308,7,0.7534312009811401,7,7,True
resnet50,resnet50_linear_head,grayscale,4311,4311,8,0.7516723871231079,8,8,True
resnet50,resnet50_linear_head,grayscale,4323,4323,3,0.8606409430503845,3,3,True
resnet50,resnet50_linear_head,grayscale,4330,4330,3,0.6549081206321716,3,6,False
resnet50,resnet50_linear_head,grayscale,4341,4341,6,0.7259219288825989,6,6,True
resnet50,resnet50_linear_head,grayscale,4355,4355,8,0.7761614322662354,8,8,True
resnet50,resnet50_linear_head,grayscale,4399,4399,0,0.8910350203514099,0,0,True
resnet50,resnet50_linear_head,grayscale,4403,4403,7,0.8983192443847656,7,7,True
resnet50,resnet50_linear_head,grayscale,4411,4411,6,0.6778596639633179,6,6,True
resnet50,resnet50_linear_head,grayscale,4449,4449,9,0.7608272433280945,9,9,True
resnet50,resnet50_linear_head,grayscale,4463,4463,3,0.8119956851005554,3,3,True
resnet50,resnet50_linear_head,grayscale,4531,4531,3,0.6890150308609009,3,3,True
resnet50,resnet50_linear_head,grayscale,4539,4539,0,0.9209452867507935,0,0,True
resnet50,resnet50_linear_head,grayscale,4547,4547,5,0.7882723212242126,5,5,True
resnet50,resnet50_linear_head,grayscale,4552,4552,8,0.8080477714538574,8,9,False
resnet50,resnet50_linear_head,grayscale,4570,4570,5,0.8247507810592651,5,5,True
resnet50,resnet50_linear_head,grayscale,4590,4590,3,0.7255629301071167,3,3,True
resnet50,resnet50_linear_head,grayscale,4609,4609,3,0.7725389003753662,3,3,True
resnet50,resnet50_linear_head,grayscale,4615,4615,0,0.8148763179779053,0,0,True
resnet50,resnet50_linear_head,grayscale,4617,4617,0,0.7925279140472412,0,0,True
resnet50,resnet50_linear_head,grayscale,4620,4620,6,0.6196272969245911,6,6,True
resnet50,resnet50_linear_head,grayscale,4629,4629,4,0.594440758228302,4,4,True
resnet50,resnet50_linear_head,grayscale,4640,4640,1,0.709160327911377,1,7,False
resnet50,resnet50_linear_head,grayscale,4642,4642,4,0.7982088923454285,4,4,True
resnet50,resnet50_linear_head,grayscale,4661,4661,7,0.7482110261917114,7,7,True
resnet50,resnet50_linear_head,grayscale,4662,4662,8,0.9078746438026428,8,8,True
resnet50,resnet50_linear_head,grayscale,4675,4675,0,0.7919939756393433,0,0,True
resnet50,resnet50_linear_head,grayscale,4676,4676,8,0.8727673292160034,8,8,True
resnet50,resnet50_linear_head,grayscale,4704,4704,7,0.7963027358055115,7,7,True
resnet50,resnet50_linear_head,grayscale,4723,4723,9,0.8649548292160034,9,9,True
resnet50,resnet50_linear_head,grayscale,4731,4731,6,0.6971806287765503,6,6,True
resnet50,resnet50_linear_head,grayscale,4735,4735,2,0.8885329365730286,2,2,True
resnet50,resnet50_linear_head,grayscale,4740,4740,4,0.7131544351577759,4,4,True
resnet50,resnet50_linear_head,grayscale,4746,4746,6,0.7816277742385864,6,6,True
resnet50,resnet50_linear_head,grayscale,4748,4748,7,0.8976279497146606,7,7,True
resnet50,resnet50_linear_head,grayscale,4754,4754,6,0.7389927506446838,6,6,True
resnet50,resnet50_linear_head,grayscale,4785,4785,0,0.85450679063797,0,0,True
resnet50,resnet50_linear_head,grayscale,4791,4791,7,0.9033159017562866,7,7,True
resnet50,resnet50_linear_head,grayscale,4819,4819,0,0.7935657501220703,0,0,True
resnet50,resnet50_linear_head,grayscale,4821,4821,3,0.674119770526886,3,3,True
resnet50,resnet50_linear_head,grayscale,4827,4827,6,0.7238818407058716,6,6,True
resnet50,resnet50_linear_head,grayscale,4850,4850,5,0.8487405180931091,5,5,True
resnet50,resnet50_linear_head,grayscale,4881,4881,3,0.5747885704040527,3,3,True
resnet50,resnet50_linear_head,grayscale,4893,4893,0,0.9009574055671692,0,0,True
resnet50,resnet50_linear_head,grayscale,4908,4908,3,0.8002960681915283,3,3,True
resnet50,resnet50_linear_head,grayscale,4913,4913,2,0.7860684990882874,2,2,True
resnet50,resnet50_linear_head,grayscale,4921,4921,2,0.8542435169219971,2,2,True
resnet50,resnet50_linear_head,grayscale,4953,4953,5,0.7124966382980347,5,5,True
