candidate_id,pair_number,pair_name,schedule_rank,direction_code,direction,content_official_index,content_class_id,content_class_name,style_official_index,style_class_id,style_class_name,shape_class_id,shape_class_name,texture_class_id,texture_class_name,selection_seed,alpha,part_of_initial_generation
p01_r21_a_to_b,1,airplane__cat,21,a_to_b,airplane_shape__cat_texture,4893,0,airplane,7744,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r21_b_to_a,1,airplane__cat,21,b_to_a,cat_shape__airplane_texture,7744,3,cat,4893,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r22_a_to_b,1,airplane__cat,22,a_to_b,airplane_shape__cat_texture,1977,0,airplane,365,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r22_b_to_a,1,airplane__cat,22,b_to_a,cat_shape__airplane_texture,365,3,cat,1977,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r23_a_to_b,1,airplane__cat,23,a_to_b,airplane_shape__cat_texture,6986,0,airplane,4531,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r23_b_to_a,1,airplane__cat,23,b_to_a,cat_shape__airplane_texture,4531,3,cat,6986,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r24_a_to_b,1,airplane__cat,24,a_to_b,airplane_shape__cat_texture,7634,0,airplane,632,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r24_b_to_a,1,airplane__cat,24,b_to_a,cat_shape__airplane_texture,632,3,cat,7634,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r25_a_to_b,1,airplane__cat,25,a_to_b,airplane_shape__cat_texture,6844,0,airplane,4023,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r25_b_to_a,1,airplane__cat,25,b_to_a,cat_shape__airplane_texture,4023,3,cat,6844,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r26_a_to_b,1,airplane__cat,26,a_to_b,airplane_shape__cat_texture,81,0,airplane,176,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r26_b_to_a,1,airplane__cat,26,b_to_a,cat_shape__airplane_texture,176,3,cat,81,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r27_a_to_b,1,airplane__cat,27,a_to_b,airplane_shape__cat_texture,3965,0,airplane,3851,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r27_b_to_a,1,airplane__cat,27,b_to_a,cat_shape__airplane_texture,3851,3,cat,3965,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r28_a_to_b,1,airplane__cat,28,a_to_b,airplane_shape__cat_texture,3455,0,airplane,391,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r28_b_to_a,1,airplane__cat,28,b_to_a,cat_shape__airplane_texture,391,3,cat,3455,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r29_a_to_b,1,airplane__cat,29,a_to_b,airplane_shape__cat_texture,7309,0,airplane,3383,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r29_b_to_a,1,airplane__cat,29,b_to_a,cat_shape__airplane_texture,3383,3,cat,7309,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r30_a_to_b,1,airplane__cat,30,a_to_b,airplane_shape__cat_texture,1389,0,airplane,4463,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r30_b_to_a,1,airplane__cat,30,b_to_a,cat_shape__airplane_texture,4463,3,cat,1389,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r31_a_to_b,1,airplane__cat,31,a_to_b,airplane_shape__cat_texture,7465,0,airplane,3375,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r31_b_to_a,1,airplane__cat,31,b_to_a,cat_shape__airplane_texture,3375,3,cat,7465,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r32_a_to_b,1,airplane__cat,32,a_to_b,airplane_shape__cat_texture,6437,0,airplane,1370,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r32_b_to_a,1,airplane__cat,32,b_to_a,cat_shape__airplane_texture,1370,3,cat,6437,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r33_a_to_b,1,airplane__cat,33,a_to_b,airplane_shape__cat_texture,484,0,airplane,2539,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r33_b_to_a,1,airplane__cat,33,b_to_a,cat_shape__airplane_texture,2539,3,cat,484,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r34_a_to_b,1,airplane__cat,34,a_to_b,airplane_shape__cat_texture,7320,0,airplane,979,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r34_b_to_a,1,airplane__cat,34,b_to_a,cat_shape__airplane_texture,979,3,cat,7320,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r35_a_to_b,1,airplane__cat,35,a_to_b,airplane_shape__cat_texture,5117,0,airplane,4590,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r35_b_to_a,1,airplane__cat,35,b_to_a,cat_shape__airplane_texture,4590,3,cat,5117,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r36_a_to_b,1,airplane__cat,36,a_to_b,airplane_shape__cat_texture,2242,0,airplane,4881,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r36_b_to_a,1,airplane__cat,36,b_to_a,cat_shape__airplane_texture,4881,3,cat,2242,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r37_a_to_b,1,airplane__cat,37,a_to_b,airplane_shape__cat_texture,5478,0,airplane,7416,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r37_b_to_a,1,airplane__cat,37,b_to_a,cat_shape__airplane_texture,7416,3,cat,5478,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r38_a_to_b,1,airplane__cat,38,a_to_b,airplane_shape__cat_texture,4819,0,airplane,3914,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r38_b_to_a,1,airplane__cat,38,b_to_a,cat_shape__airplane_texture,3914,3,cat,4819,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r39_a_to_b,1,airplane__cat,39,a_to_b,airplane_shape__cat_texture,4539,0,airplane,2028,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r39_b_to_a,1,airplane__cat,39,b_to_a,cat_shape__airplane_texture,2028,3,cat,4539,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r40_a_to_b,1,airplane__cat,40,a_to_b,airplane_shape__cat_texture,7373,0,airplane,3778,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r40_b_to_a,1,airplane__cat,40,b_to_a,cat_shape__airplane_texture,3778,3,cat,7373,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r41_a_to_b,1,airplane__cat,41,a_to_b,airplane_shape__cat_texture,3347,0,airplane,791,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r41_b_to_a,1,airplane__cat,41,b_to_a,cat_shape__airplane_texture,791,3,cat,3347,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r42_a_to_b,1,airplane__cat,42,a_to_b,airplane_shape__cat_texture,4399,0,airplane,4323,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r42_b_to_a,1,airplane__cat,42,b_to_a,cat_shape__airplane_texture,4323,3,cat,4399,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r43_a_to_b,1,airplane__cat,43,a_to_b,airplane_shape__cat_texture,3025,0,airplane,1263,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r43_b_to_a,1,airplane__cat,43,b_to_a,cat_shape__airplane_texture,1263,3,cat,3025,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r44_a_to_b,1,airplane__cat,44,a_to_b,airplane_shape__cat_texture,7262,0,airplane,4215,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r44_b_to_a,1,airplane__cat,44,b_to_a,cat_shape__airplane_texture,4215,3,cat,7262,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r45_a_to_b,1,airplane__cat,45,a_to_b,airplane_shape__cat_texture,1596,0,airplane,677,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r45_b_to_a,1,airplane__cat,45,b_to_a,cat_shape__airplane_texture,677,3,cat,1596,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r46_a_to_b,1,airplane__cat,46,a_to_b,airplane_shape__cat_texture,3083,0,airplane,1563,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r46_b_to_a,1,airplane__cat,46,b_to_a,cat_shape__airplane_texture,1563,3,cat,3083,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r47_a_to_b,1,airplane__cat,47,a_to_b,airplane_shape__cat_texture,2888,0,airplane,2291,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r47_b_to_a,1,airplane__cat,47,b_to_a,cat_shape__airplane_texture,2291,3,cat,2888,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r48_a_to_b,1,airplane__cat,48,a_to_b,airplane_shape__cat_texture,5918,0,airplane,2861,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r48_b_to_a,1,airplane__cat,48,b_to_a,cat_shape__airplane_texture,2861,3,cat,5918,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r49_a_to_b,1,airplane__cat,49,a_to_b,airplane_shape__cat_texture,6609,0,airplane,6490,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r49_b_to_a,1,airplane__cat,49,b_to_a,cat_shape__airplane_texture,6490,3,cat,6609,0,airplane,3,cat,0,airplane,6304,0.8,False
p01_r50_a_to_b,1,airplane__cat,50,a_to_b,airplane_shape__cat_texture,2750,0,airplane,1531,3,cat,0,airplane,3,cat,6304,0.8,False
p01_r50_b_to_a,1,airplane__cat,50,b_to_a,cat_shape__airplane_texture,1531,3,cat,2750,0,airplane,3,cat,0,airplane,6304,0.8,False
p02_r01_a_to_b,2,car__deer,1,a_to_b,car_shape__deer_texture,3067,2,car,2757,4,deer,2,car,4,deer,6304,0.8,True
p02_r01_b_to_a,2,car__deer,1,b_to_a,deer_shape__car_texture,2757,4,deer,3067,2,car,4,deer,2,car,6304,0.8,True
p02_r02_a_to_b,2,car__deer,2,a_to_b,car_shape__deer_texture,3362,2,car,691,4,deer,2,car,4,deer,6304,0.8,True
p02_r02_b_to_a,2,car__deer,2,b_to_a,deer_shape__car_texture,691,4,deer,3362,2,car,4,deer,2,car,6304,0.8,True
p02_r03_a_to_b,2,car__deer,3,a_to_b,car_shape__deer_texture,6244,2,car,6288,4,deer,2,car,4,deer,6304,0.8,True
p02_r03_b_to_a,2,car__deer,3,b_to_a,deer_shape__car_texture,6288,4,deer,6244,2,car,4,deer,2,car,6304,0.8,True
p02_r04_a_to_b,2,car__deer,4,a_to_b,car_shape__deer_texture,6271,2,car,3287,4,deer,2,car,4,deer,6304,0.8,True
p02_r04_b_to_a,2,car__deer,4,b_to_a,deer_shape__car_texture,3287,4,deer,6271,2,car,4,deer,2,car,6304,0.8,True
p02_r05_a_to_b,2,car__deer,5,a_to_b,car_shape__deer_texture,317,2,car,3512,4,deer,2,car,4,deer,6304,0.8,True
p02_r05_b_to_a,2,car__deer,5,b_to_a,deer_shape__car_texture,3512,4,deer,317,2,car,4,deer,2,car,6304,0.8,True
p02_r06_a_to_b,2,car__deer,6,a_to_b,car_shape__deer_texture,1202,2,car,4629,4,deer,2,car,4,deer,6304,0.8,True
p02_r06_b_to_a,2,car__deer,6,b_to_a,deer_shape__car_texture,4629,4,deer,1202,2,car,4,deer,2,car,6304,0.8,True
p02_r07_a_to_b,2,car__deer,7,a_to_b,car_shape__deer_texture,4921,2,car,3122,4,deer,2,car,4,deer,6304,0.8,True
p02_r07_b_to_a,2,car__deer,7,b_to_a,deer_shape__car_texture,3122,4,deer,4921,2,car,4,deer,2,car,6304,0.8,True
p02_r08_a_to_b,2,car__deer,8,a_to_b,car_shape__deer_texture,6264,2,car,3458,4,deer,2,car,4,deer,6304,0.8,True
p02_r08_b_to_a,2,car__deer,8,b_to_a,deer_shape__car_texture,3458,4,deer,6264,2,car,4,deer,2,car,6304,0.8,True
p02_r09_a_to_b,2,car__deer,9,a_to_b,car_shape__deer_texture,6426,2,car,7864,4,deer,2,car,4,deer,6304,0.8,True
p02_r09_b_to_a,2,car__deer,9,b_to_a,deer_shape__car_texture,7864,4,deer,6426,2,car,4,deer,2,car,6304,0.8,True
p02_r10_a_to_b,2,car__deer,10,a_to_b,car_shape__deer_texture,470,2,car,7475,4,deer,2,car,4,deer,6304,0.8,True
p02_r10_b_to_a,2,car__deer,10,b_to_a,deer_shape__car_texture,7475,4,deer,470,2,car,4,deer,2,car,6304,0.8,True
p02_r11_a_to_b,2,car__deer,11,a_to_b,car_shape__deer_texture,1839,2,car,6528,4,deer,2,car,4,deer,6304,0.8,True
p02_r11_b_to_a,2,car__deer,11,b_to_a,deer_shape__car_texture,6528,4,deer,1839,2,car,4,deer,2,car,6304,0.8,True
p02_r12_a_to_b,2,car__deer,12,a_to_b,car_shape__deer_texture,1403,2,car,171,4,deer,2,car,4,deer,6304,0.8,True
p02_r12_b_to_a,2,car__deer,12,b_to_a,deer_shape__car_texture,171,4,deer,1403,2,car,4,deer,2,car,6304,0.8,True
p02_r13_a_to_b,2,car__deer,13,a_to_b,car_shape__deer_texture,5237,2,car,5789,4,deer,2,car,4,deer,6304,0.8,True
p02_r13_b_to_a,2,car__deer,13,b_to_a,deer_shape__car_texture,5789,4,deer,5237,2,car,4,deer,2,car,6304,0.8,True
p02_r14_a_to_b,2,car__deer,14,a_to_b,car_shape__deer_texture,409,2,car,5135,4,deer,2,car,4,deer,6304,0.8,True
p02_r14_b_to_a,2,car__deer,14,b_to_a,deer_shape__car_texture,5135,4,deer,409,2,car,4,deer,2,car,6304,0.8,True
p02_r15_a_to_b,2,car__deer,15,a_to_b,car_shape__deer_texture,6616,2,car,7940,4,deer,2,car,4,deer,6304,0.8,True
p02_r15_b_to_a,2,car__deer,15,b_to_a,deer_shape__car_texture,7940,4,deer,6616,2,car,4,deer,2,car,6304,0.8,True
p02_r16_a_to_b,2,car__deer,16,a_to_b,car_shape__deer_texture,7084,2,car,5062,4,deer,2,car,4,deer,6304,0.8,True
p02_r16_b_to_a,2,car__deer,16,b_to_a,deer_shape__car_texture,5062,4,deer,7084,2,car,4,deer,2,car,6304,0.8,True
p02_r17_a_to_b,2,car__deer,17,a_to_b,car_shape__deer_texture,35,2,car,506,4,deer,2,car,4,deer,6304,0.8,True
p02_r17_b_to_a,2,car__deer,17,b_to_a,deer_shape__car_texture,506,4,deer,35,2,car,4,deer,2,car,6304,0.8,True
p02_r18_a_to_b,2,car__deer,18,a_to_b,car_shape__deer_texture,6028,2,car,5623,4,deer,2,car,4,deer,6304,0.8,True
p02_r18_b_to_a,2,car__deer,18,b_to_a,deer_shape__car_texture,5623,4,deer,6028,2,car,4,deer,2,car,6304,0.8,True
p02_r19_a_to_b,2,car__deer,19,a_to_b,car_shape__deer_texture,6692,2,car,3365,4,deer,2,car,4,deer,6304,0.8,True
p02_r19_b_to_a,2,car__deer,19,b_to_a,deer_shape__car_texture,3365,4,deer,6692,2,car,4,deer,2,car,6304,0.8,True
p02_r20_a_to_b,2,car__deer,20,a_to_b,car_shape__deer_texture,2392,2,car,3763,4,deer,2,car,4,deer,6304,0.8,True
p02_r20_b_to_a,2,car__deer,20,b_to_a,deer_shape__car_texture,3763,4,deer,2392,2,car,4,deer,2,car,6304,0.8,True
p02_r21_a_to_b,2,car__deer,21,a_to_b,car_shape__deer_texture,483,2,car,7610,4,deer,2,car,4,deer,6304,0.8,False
p02_r21_b_to_a,2,car__deer,21,b_to_a,deer_shape__car_texture,7610,4,deer,483,2,car,4,deer,2,car,6304,0.8,False
p02_r22_a_to_b,2,car__deer,22,a_to_b,car_shape__deer_texture,4735,2,car,3179,4,deer,2,car,4,deer,6304,0.8,False
p02_r22_b_to_a,2,car__deer,22,b_to_a,deer_shape__car_texture,3179,4,deer,4735,2,car,4,deer,2,car,6304,0.8,False
p02_r23_a_to_b,2,car__deer,23,a_to_b,car_shape__deer_texture,1586,2,car,5077,4,deer,2,car,4,deer,6304,0.8,False
p02_r23_b_to_a,2,car__deer,23,b_to_a,deer_shape__car_texture,5077,4,deer,1586,2,car,4,deer,2,car,6304,0.8,False
p02_r24_a_to_b,2,car__deer,24,a_to_b,car_shape__deer_texture,6332,2,car,855,4,deer,2,car,4,deer,6304,0.8,False
p02_r24_b_to_a,2,car__deer,24,b_to_a,deer_shape__car_texture,855,4,deer,6332,2,car,4,deer,2,car,6304,0.8,False
p02_r25_a_to_b,2,car__deer,25,a_to_b,car_shape__deer_texture,5824,2,car,1111,4,deer,2,car,4,deer,6304,0.8,False
p02_r25_b_to_a,2,car__deer,25,b_to_a,deer_shape__car_texture,1111,4,deer,5824,2,car,4,deer,2,car,6304,0.8,False
p02_r26_a_to_b,2,car__deer,26,a_to_b,car_shape__deer_texture,5183,2,car,5213,4,deer,2,car,4,deer,6304,0.8,False
p02_r26_b_to_a,2,car__deer,26,b_to_a,deer_shape__car_texture,5213,4,deer,5183,2,car,4,deer,2,car,6304,0.8,False
p02_r27_a_to_b,2,car__deer,27,a_to_b,car_shape__deer_texture,2502,2,car,6097,4,deer,2,car,4,deer,6304,0.8,False
p02_r27_b_to_a,2,car__deer,27,b_to_a,deer_shape__car_texture,6097,4,deer,2502,2,car,4,deer,2,car,6304,0.8,False
p02_r28_a_to_b,2,car__deer,28,a_to_b,car_shape__deer_texture,714,2,car,2704,4,deer,2,car,4,deer,6304,0.8,False
p02_r28_b_to_a,2,car__deer,28,b_to_a,deer_shape__car_texture,2704,4,deer,714,2,car,4,deer,2,car,6304,0.8,False
p02_r29_a_to_b,2,car__deer,29,a_to_b,car_shape__deer_texture,4065,2,car,6508,4,deer,2,car,4,deer,6304,0.8,False
p02_r29_b_to_a,2,car__deer,29,b_to_a,deer_shape__car_texture,6508,4,deer,4065,2,car,4,deer,2,car,6304,0.8,False
p02_r30_a_to_b,2,car__deer,30,a_to_b,car_shape__deer_texture,5318,2,car,766,4,deer,2,car,4,deer,6304,0.8,False
p02_r30_b_to_a,2,car__deer,30,b_to_a,deer_shape__car_texture,766,4,deer,5318,2,car,4,deer,2,car,6304,0.8,False
p02_r31_a_to_b,2,car__deer,31,a_to_b,car_shape__deer_texture,1814,2,car,3034,4,deer,2,car,4,deer,6304,0.8,False
p02_r31_b_to_a,2,car__deer,31,b_to_a,deer_shape__car_texture,3034,4,deer,1814,2,car,4,deer,2,car,6304,0.8,False
p02_r32_a_to_b,2,car__deer,32,a_to_b,car_shape__deer_texture,5677,2,car,3994,4,deer,2,car,4,deer,6304,0.8,False
p02_r32_b_to_a,2,car__deer,32,b_to_a,deer_shape__car_texture,3994,4,deer,5677,2,car,4,deer,2,car,6304,0.8,False
p02_r33_a_to_b,2,car__deer,33,a_to_b,car_shape__deer_texture,49,2,car,3891,4,deer,2,car,4,deer,6304,0.8,False
p02_r33_b_to_a,2,car__deer,33,b_to_a,deer_shape__car_texture,3891,4,deer,49,2,car,4,deer,2,car,6304,0.8,False
p02_r34_a_to_b,2,car__deer,34,a_to_b,car_shape__deer_texture,5333,2,car,4740,4,deer,2,car,4,deer,6304,0.8,False
p02_r34_b_to_a,2,car__deer,34,b_to_a,deer_shape__car_texture,4740,4,deer,5333,2,car,4,deer,2,car,6304,0.8,False
p02_r35_a_to_b,2,car__deer,35,a_to_b,car_shape__deer_texture,3755,2,car,1211,4,deer,2,car,4,deer,6304,0.8,False
p02_r35_b_to_a,2,car__deer,35,b_to_a,deer_shape__car_texture,1211,4,deer,3755,2,car,4,deer,2,car,6304,0.8,False
p02_r36_a_to_b,2,car__deer,36,a_to_b,car_shape__deer_texture,981,2,car,5402,4,deer,2,car,4,deer,6304,0.8,False
p02_r36_b_to_a,2,car__deer,36,b_to_a,deer_shape__car_texture,5402,4,deer,981,2,car,4,deer,2,car,6304,0.8,False
p02_r37_a_to_b,2,car__deer,37,a_to_b,car_shape__deer_texture,5030,2,car,2898,4,deer,2,car,4,deer,6304,0.8,False
p02_r37_b_to_a,2,car__deer,37,b_to_a,deer_shape__car_texture,2898,4,deer,5030,2,car,4,deer,2,car,6304,0.8,False
p02_r38_a_to_b,2,car__deer,38,a_to_b,car_shape__deer_texture,7425,2,car,7944,4,deer,2,car,4,deer,6304,0.8,False
p02_r38_b_to_a,2,car__deer,38,b_to_a,deer_shape__car_texture,7944,4,deer,7425,2,car,4,deer,2,car,6304,0.8,False
p02_r39_a_to_b,2,car__deer,39,a_to_b,car_shape__deer_texture,6354,2,car,7692,4,deer,2,car,4,deer,6304,0.8,False
p02_r39_b_to_a,2,car__deer,39,b_to_a,deer_shape__car_texture,7692,4,deer,6354,2,car,4,deer,2,car,6304,0.8,False
p02_r40_a_to_b,2,car__deer,40,a_to_b,car_shape__deer_texture,2082,2,car,1960,4,deer,2,car,4,deer,6304,0.8,False
p02_r40_b_to_a,2,car__deer,40,b_to_a,deer_shape__car_texture,1960,4,deer,2082,2,car,4,deer,2,car,6304,0.8,False
p02_r41_a_to_b,2,car__deer,41,a_to_b,car_shape__deer_texture,5756,2,car,1429,4,deer,2,car,4,deer,6304,0.8,False
p02_r41_b_to_a,2,car__deer,41,b_to_a,deer_shape__car_texture,1429,4,deer,5756,2,car,4,deer,2,car,6304,0.8,False
p02_r42_a_to_b,2,car__deer,42,a_to_b,car_shape__deer_texture,4913,2,car,1266,4,deer,2,car,4,deer,6304,0.8,False
